HOMBRE ,MUJER,UNIDAD ACADEMICA ,NIVEL,IDIOMA,POBLACION,COMPETENCIA
2,3,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",EMPLEADOS,INGLÉS,Población IPN,BASICO
38,64,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",No aplica,INGLÉS,Población General,BASICO
51,37,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",MEDIO SUPERIOR,INGLÉS,Población IPN,INTERMEDIO
19,12,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",SUPERIOR,INGLÉS,Población IPN,INTERMEDIO
1,2,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",EMPLEADOS,INGLÉS,Población IPN,INTERMEDIO
6,19,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",No aplica,INGLÉS,Población General,INTERMEDIO
16,17,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",MEDIO SUPERIOR,INGLÉS,Población IPN,AVANZADO
35,9,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",SUPERIOR,INGLÉS,Población IPN,AVANZADO
2,0,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",EMPLEADOS,INGLÉS,Población IPN,AVANZADO
6,8,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",No aplica,INGLÉS,Población General,AVANZADO
4,8,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",MEDIO SUPERIOR,FRANCÉS,Población IPN,BASICO
0,1,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",SUPERIOR,FRANCÉS,Población IPN,BASICO
2,1,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 2 ""MIGUEL BERNARD""",MEDIO SUPERIOR,FRANCÉS,Población IPN,INTERMEDIO
206,137,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",MEDIO SUPERIOR,INGLÉS,Población IPN,BASICO
36,43,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLÓGICOS NO. 3 ""ESTANISLAO RAMÍREZ RUIZ""",SUPERIOR,INGLÉS,Población IPN,BASICO
